long,lat,num_registro,periodo,categoria,establecimiento,telefono,mail,calle,calle_nro,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.388590,-34.606613,55 A/11,2019,1*,HOTEL SIENA,(54 11) 4371 0720 / 7422 / 6346,info@sienahotel.com.ar,JUAN D. PERON ,1554,San Nicolas,Comuna 1,1037,C1037ACD
-58.440883,-34.573553,146,2019,1*,KEY'S HOTEL,(54 11) 4778-3233 / 4772 8371,reservas@hotelkeys.com.ar,ZAPATA ,315,Palermo,Comuna 14,1426,C1426AEE
-58.380303,-34.609055,64-A/11,2019,1*,LA FRESQUE,(54 11) 43313615,info@lafresquehotel.com,AV. DE MAYO ,984,Monserrat,Comuna 1,1084,C1084AAR
-58.409146,-34.611453,136,2019,1*,LLANO,(54 11) 4861-1672,,H. YRIGOYEN ,3023,Balvanera,Comuna 3,1207,C1207ABC
-58.383493,-34.607230,122,2019,1*,MAJESTIC HOTEL,(54 11) 4382-6441 / 1949,info@majestichotel.com.ar,LIBERTAD ,121,San Nicolas,Comuna 1,1012,C1012AAC
-58.389323,-34.604920,44,2019,1*,MILAN,(54 11) 4373-0759 / 4374-1906,info@milanhotel.com.ar,MONTEVIDEO ,337,San Nicolas,Comuna 1,1019,C1019ABG
-58.464122,-34.555699,153,2019,1*,MORDOMO,(54 11)4544-2711 / 4545-1263,hotelmordomo@yahoo.com.ar,CIUDAD DE LA PAZ ,2942,Nu\u00f1ez,Comuna 13,1429,C1429ACB
-58.409425,-34.595694,506,2019,1*,OMEGA,(54 11) 4962-5431,hotelomega@arnet.com.ar,PARAGUAY ,2991,Recoleta,Comuna 2,1425,C1425BRI
-58.390320,-34.613144,118,2019,1*,PALACE SOLIS,(54 11) 4371-7428 / 6266,info@hotelsolis.com.ar,SOLIS ,352,Monserrat,Comuna 1,1078,C1078AAH
-58.390645,-34.594987,61,2019,1*,PRINCE HOTEL,(54 11) 4811-8004,princehotel@fibertel.com.ar,ARENALES ,1627,Recoleta,Comuna 2,1061,C1061AAS
-58.404861,-34.612341,42,2019,1*,QUITO,(54 11) 4957-5056,NO TIENE,ALSINA ,2737,Balvanera,Comuna 3,1090,C1090AAS
-58.383916,-34.626907,97,2019,1*,RIO DE LA PLATA,(54 11) 4305-3191 / 4306-8689,NO TIENE,JUAN DE GARAY ,1271,Constitucion,Comuna 1,1153,C1153ABK
-58.376193,-34.608765,121,2019,1*,TURISTA HOTEL,(54 11) 4331-2281 / 2485,turistahotel@yahoo.com.ar,AV. DE MAYO ,686,Monserrat,Comuna 1,1084,C1084AAO
-58.389372,-34.606160,37 A/10,2019,2*,A & B INTERNACIONAL,(54 11) 4325-8960/4382-4118,recepcion@hotelayb.com,MONTEVIDEO ,242,San Nicolas,Comuna 1,1019,C1019ABF
-58.414803,-34.609428,234,2019,2*,AIRES EXPRESS,(54 11) 4867-1265 / 4860-0204,airesexpress@speedy.com.ar,B. MITRE ,3410,Almagro,Comuna 5,1201,C1201AAN
-58.390731,-34.605960,208,2019,2*,AMERICANO HOTEL,(54 11) 4382-4223,info@hotelamericano.com.ar,RODRIGUEZ PEÑA ,265,San Nicolas,Comuna 1,1020,C1020ADE
-58.379405,-34.608993,140,2019,2*,ASTORIA,(54 11) 4334-9061 / 5,info@hotel-astoria.com.ar,AV. DE MAYO ,916,Monserrat,Comuna 1,1084,C1084AAR
-58.394854,-34.592560,16,2019,2*,AYACUCHO PALACE HOTEL,(54 11) 4806-1815,reservas@ayacuchohotel.com.ar,AYACUCHO ,1408,Recoleta,Comuna 2,1111,C1111AAN
-58.394993,-34.608042,109,2019,2*,AYAMITRE HOTEL,(54 11) 4953-1655,reservas@hotelayamitre.com.ar,AYACUCHO ,106,Balvanera,Comuna 3,1025,C1025AAD
-58.435218,-34.584650,63-A/11,2019,2*,BE HOLLYWOOD,(54 11) 5555-8100,reservas@behollywood.com,HUMBOLDT ,1716,Palermo,Comuna 14,1414,C1414CTR
-58.397104,-34.600343,142,2019,2*,BLANRO,(54 11) 4374-2000,reservas@hotelblanro.com.ar,JUNIN ,759,Balvanera,Comuna 3,1026,C1026ABO
-58.424886,-34.604388,177,2019,2*,CAMARO PALACE HOTEL,(54 11) 4867-4798 / 0195,camaroph@ciudad.com.ar,SARMIENTO ,4239,Almagro,Comuna 5,1197,C1197AAK
-58.383981,-34.609148,56,2019,2*,CECIL HOTEL,(54 11) 4383-3511,cecilhotel@hotmail.com,AV. DE MAYO ,1239,Monserrat,Comuna 1,1085,C1085ABC
-58.374300,-34.595975,117,2019,2*,CENTRAL CORDOBA HOTEL,(54 11) 4311-1175 / 4312-8524,reservas@hotelcentralcordoba.com.ar,SAN MARTIN ,1021,Retiro,Comuna 1,1004,C1004AAU
-58.388218,-34.600615,115,2019,2*,COMFORT HOTEL,(54 11) 4814-4917,http://hotelcomfort.com.ar/castellano/,VIAMONTE ,1501,San Nicolas,Comuna 1,1055,C1055ABC
-58.374308,-34.597207,19,2019,2*,DIPLOMAT,(54 11) 4311-9370 / 4312-6124,diplomat@sinectis.com.ar,SAN MARTIN ,918,Retiro,Comuna 1,1004,C1004AAT
-58.392186,-34.607280,18,2019,2*,ESTILO MB (ex TURILUZ; ex EL MOLINO HOTEL),(54 11) 4374-9112,info@hotelestilomb.com.ar.,CALLAO ,164,Balvanera,Comuna 3,1022,C1022AAO
-58.410035,-34.612967,163,2019,2*,ESPERIA,(54 11) 4957-3937,consultas@hotelesperia.com.ar,URQUIZA ,222,Balvanera,Comuna 3,1215,C1215ADF
-58.426501,-34.584645,15 A/09,2019,2*,ESPLENDOR PALERMO SOHO,(54 11) 4899-4000 / 5217-5799,reservasweb@esplendorpalermosoho.com,GUATEMALA ,4931,Palermo,Comuna 14,1425,C1425BUQ
-58.404581,-34.609401,70,2019,2*,GRAN HOTEL ATLANTIC,(54 11) 4951-0081,info@hotelatlantic.com.ar,CASTELLI ,45,Balvanera,Comuna 3,1031,C1031AAA
-58.378641,-34.608859,62,2019,2*,GRAN HOTEL HISPANO,(54 11) 4345-2020,hhispano@hhispano.com.ar,AV. DE MAYO ,861,Monserrat,Comuna 1,1084,C1084AAD
-58.383567,-34.605734,237,2019,2*,GRAN HOTEL LIBERTAD,(54 11) 4381-2631/4382-7789,info@granhotellibertad.com.ar,LIBERTAD ,249,San Nicolas,Comuna 1,1012,C1012AAE
-58.385445,-34.609407,74,2019,2*,GRAN VEDRA,(54 11) 4383-0584,info@hotelvedra.com.ar,AV. DE MAYO ,1350,Monserrat,Comuna 1,1085,C1085ABQ
-58.389700,-34.590282,150,2019,2*,GUIDO PALACE HOTEL,(54 11) 4812-0674 / 0841,consulta@guidopalace.com.ar,GUIDO ,1780,Recoleta,Comuna 2,1016,C1016AAF
-58.375258,-34.608623,200,2019,2*,HOTEL AVENIDA,(54 11) 4342-5664,havenida@ciudad.com.ar havenidabuenosaires@gmail.com,AV. DE MAYO ,623,Monserrat,Comuna 1,1084,C1084AAB
-58.399302,-34.609649,209,2019,2*,HOTEL CARRARA,(54 11) 4952-1888,info@hotelcarrara.com.ar,RIVADAVIA ,2307,,,,
-58.390310,-34.611252,198,2019,2*,HOTEL CENTRAL,(54 11) 4373-8785,,SOLIS ,192,Monserrat,Comuna 1,1078,C1078AAD
-58.408933,-34.610099,203,2019,2*,HOTEL STAR,(54 11) 4866-0333,,ECUADOR ,12,Balvanera,Comuna 3,1214,C1214ABB
-58.380346,-34.614701,160,2019,2*,INTERNACIONAL,(54 11) 4334-4949,info@hotel-internacional.com.ar,B. DE IRIGOYEN ,552,Monserrat,Comuna 1,1072,C1072AAL
-58.375550,-34.603253,69,2019,2*,KING'S HOTEL,(54 11) 4322-8461 / 8161,reservas@kingshotel.com.ar,CORRIENTES ,623,San Nicolas,Comuna 1,1043,C1043AAG
-58.384617,-34.607539,100,2019,2*,LISBOA,(54 11) 4381-2152,info@hotel-lisboa.com.ar lisboahotelbaires@outlook.com,B. MITRE ,1282,San Nicolas,Comuna 1,1036,C1036AAX
-58.371487,-34.625345,171,2019,2*,LOS TRES REYES,(54 11) 4300-9456,hotel_tresreyes@yahoo.com,BRASIL ,423,San Telmo,Comuna 1,1154,C1154AAE
-58.382635,-34.609056,103,2019,2*,MADRID HOTEL,(54 11) 4381-9021,gerencia@hotelmadrid.com.ar,AV. DE MAYO ,1137,Monserrat,Comuna 1,1085,C1085ABB
-58.384301,-34.609170,60,2019,2*,MARBELLA HOTEL,(54 11) 4383-8566/3573,info@hotelmarbella.com.ar,AV. DE MAYO ,1261,Monserrat,Comuna 1,1085,C1085ABC
-58.395310,-34.608142,231,2019,2*,MARI PLAZA HOTEL,(54 11) 4952-8359 / 4953 7887,info@mariplazahotel.com.ar,B. MITRE ,2021,Balvanera,Comuna 3,1039,C1039AAE
-58.428818,-34.590992,05 A/09,2019,2*,MINE HOTEL BOUTIQUE,(54 11) 4832-1100,info@minehotel.com,GORRITI ,4770,Palermo,Comuna 14,1414,C1414BJL
-58.379400,-34.608832,27,2019,2*,NOVEL HOTEL,(54 11) 4345-3532,info@novelhotel.com.ar,AV. DE MAYO ,915,Monserrat,Comuna 1,1084,C1084AAE
-58.384820,-34.609284,34,2019,2*,NUEVO MUNDIAL HOTEL,(54 11) 4383-0011,reservas@mundialhotel.com.ar,AV. DE MAYO ,1298,Monserrat,Comuna 1,1085,C1085ABP
-58.423850,-34.578633,119,2019,2*,PACIFICO HOTEL,(54 11) 4771-4071,reservas@hotelpacifico.com.ar,FRAY JUSTO S. M. DE ORO ,2554,Palermo,Comuna 14,1425,C1425FOL
-58.424967,-34.578432,15,2019,2*,PALERMO HOTEL,(54 11) 4774-7342,info@hotel-palermo.com.ar,GODOY CRUZ ,2709,Palermo,Comuna 14,1425,C1425FQK
-58.424680,-34.577950,64,2019,2*,PANAME,(54 11) 4771-4041,info@panamehotel.com.ar,GODOY CRUZ ,2774,Palermo,Comuna 14,1425,C1425FQL
-58.369326,-34.601869,57,2019,2*,PLAZA ROMA,(54 11) 4311-1679,info@hotelplazaroma.com.ar reservas@hotelplazaroma.com.ar,LAVALLE ,110,San Nicolas,Comuna 1,1047,C1047AAD
-58.405567,-34.592095,127,2019,2*,PRINCIPE NORTE HOTEL,(54 11) 4821-9818,principe@hotel-principe.com.ar,LAPRIDA ,1454,Recoleta,Comuna 2,1425,C1425EKJ
-58.467562,-34.631653,59,2019,2*,REAL SPLENDID,(54 11) 4611-3279/4610,realsplendidhotel@ciudad.com.ar,RAMON L. FALCON ,2799,Flores,Comuna 7,1406,C1406GOC
-58.420048,-34.608324,75,2019,2*,RIO HOTEL,(54 11) 4983-8837,info@hotelrio.com.ar,J. SALGUERO ,218,Almagro,Comuna 5,1177,C1177AED
-58.396285,-34.608979,7,2019,2*,RODNEY HOTEL,(54 11) 4953-3232,administracion@hotelrodney.com.ar,JUNIN ,35,Balvanera,Comuna 3,1026,C1026ABA
-58.404592,-34.609255,24,2019,2*,TERMINE HOTEL,(54 11) 4951-0071,conserjeria@terminehotel.com.ar,CASTELLI ,61,Balvanera,Comuna 3,1031,C1031AAA
-58.372339,-34.597757,124,2019,2*,TRES SARGENTOS HOTEL,(54 11) 4312-6082,tresargentos@hotmail.com,TRES SARGENTOS ,345,Retiro,Comuna 1,1054,C1054ABA
-58.372245,-34.600854,32,2019,2*,TUCUMAN PALACE HOTEL,(54 11) 4311-3555,reservas@tucumanpalacehotel.com.ar,TUCUMAN ,384,San Nicolas,Comuna 1,1049,C1049AAH
-58.400862,-34.588381,14 A/09,2019,3*,EPICO HOTEL,(54 11) 5199-8399,info@epicorecoletahotel.com.ar,LAPRIDA ,1902,Recoleta,Comuna 2,1425,C1425EKT
-58.407931,-34.581659,55,2019,3*,ALPINO HOTEL,(54 11) 4802-5151,hotelalpino@fibertel.com.ar,CABELLO ,3316,Palermo,Comuna 14,1425,C1425APH
-58.391910,-34.604490,184,2019,3*,ATLAS TOWER,(54 11) 5217-9371,reservas@atlastower.com.ar,CORRIENTES ,1778,San Nicolas,Comuna 1,1042,C1042AAQ
-58.396664,-34.605168,23,2019,3*,BA CENTRAL,(54 11) 4953-4455 / 4071,recepcion@bacentralhotel.com.ar,JUNIN ,357,Balvanera,Comuna 3,1026,C1026ABG
-58.388018,-34.594704,182,2019,3*,BEL AIR BS AS HOTEL,(54 11) 4021-4000,reservas@hotelbelair.com.ar,ARENALES ,1462,Recoleta,Comuna 2,1061,C1061AAP
-58.388390,-34.604139,2,2019,3*,COLUMBIA PALACE HOTEL,(54 11) 4373-1906/1993/2029/2123 | 4372-5797/4325-7687,reservas@columbiapalacehotel.com.ar,CORRIENTES ,1533,San Nicolas,Comuna 1,1042,C1042AAB
-58.382231,-34.627676,106,2019,3*,CONSTITUCION PALACE HOTEL,(54 11) 4305-9010 al 20,info@cphotel.com.ar,LIMA ,1697,Constitucion,Comuna 1,1138,C1138ACI
-58.405863,-34.612473,126,2019,3*,ECUADOR HOTEL,(54 11) 4956-0532 / 33,,ALSINA ,2820,Balvanera,Comuna 3,1207,C1207AAB
-58.408814,-34.611320,130,2019,3*,ELEVEN PALACE HOTEL,(54 11) 4864-5097 al 99,info@hoteleleven.com.ar,LA RIOJA ,87,Balvanera,Comuna 3,1214,C1214ADA
-58.381496,-34.594413,14,2019,3*,EMBAJADOR,(54 11) 4326-5302 al 11,reservas@525hotel.com,C. PELLEGRINI ,1181,Retiro,Comuna 1,1009,C1009ABW
-58.378106,-34.602004,73,2019,3*,ESMERALDA PALACE HOTEL,(54 11) 5811 0317/22,reservasesmeralda@orho-hoteles.com.ar,ESMERALDA ,527,San Nicolas,Comuna 1,1007,C1007ABC
-58.388877,-34.585577,37,2019,3*,ESPLENDOR PLAZA FRANCIA,(54 11) 4804 9631,reservas@esplendorplazafrancia.com,PASAJE SCHIAFFINO ,2189,Recoleta,Comuna 2,1129,C1129ACC
-58.389308,-34.605256,61 A/11,2019,3*,EUROPLAZA HOTEL & SUITES,(54 11) 4371-8215/4272 o 50327679/7699,info@europlaza.com.ar,MONTEVIDEO ,327,San Nicolas,Comuna 1,1019,C1019ABG
-58.379275,-34.608059,161,2019,3*,GRAN HOTEL AILEN,(54 11) 4345-4980 / 4343-2037,reservas@granhotelailen.com.ar,SUIPACHA ,18,San Nicolas,Comuna 1,1008,C1008AAB
-58.380695,-34.607944,88,2019,3*,GRAN HOTEL ARGENTINO,(54 11) 4334-4001 / 02,info@hotel-argentino.com.ar,C. PELLEGRINI ,37,San Nicolas,Comuna 1,1009,C1009ABA
-58.382767,-34.608492,20,2019,3*,GRAN HOTEL DE LA PAIX,(54 11) 4381-8061 / 63,reservas@granhoteldelapaix.com.ar,RIVADAVIA ,1155,,,,
-58.373805,-34.597424,31,2019,3*,GRAN HOTEL ORLY,(54 11) 4312-5344 al 48,info@orly.com.ar,PARAGUAY ,474,Retiro,Comuna 1,1057,C1057AAD
-58.371301,-34.598750,194,2019,3*,HOLIDAY INN EXPRESS,(54 11) 4311-5200,reservas.arg@talbot.cl,LEANDRO N. ALEM ,770,San Nicolas,Comuna 1,1001,C1001AAP
-58.373899,-34.610246,239,2019,3*,HOTEL DE LAS LUCES,(54 11) 4343-6776,reservas@uthgradelasluces.com.ar,ALSINA ,527,Monserrat,Comuna 1,1087,C1087AAG
-58.385757,-34.604028,49 A/11,2019,3*,HOTEL IBIS BUENOS AIRES OBELISCO,(54 11) 4370-9300,h6502-dm1@accor.com,CORRIENTES ,1344,San Nicolas,Comuna 1,1043,C1043ABN
-58.412117,-34.604016,22,2019,3*,HOTEL N´ONTUÉ,(54 11) 4860 1600,info@nontuehotel.com.ar,CORRIENTES ,3321,Balvanera,Comuna 3,1193,C1193AAF
-58.395371,-34.592269,31 A/10,2019,3*,HOWARD JOHNSON H. BOUTIQUE RECOLETA,(54 11) 4800-1992,ventas@hjboutiquerecoleta.com.ar,PEÑA ,2047,Recoleta,Comuna 2,1126,C1126ABA
-58.388897,-34.610118,206,2019,3*,IBIS HOTEL,(54 11) 5300-5555,h3251@accor.com,H. YRIGOYEN ,1592,Monserrat,Comuna 1,1089,C1089AAD
-58.384381,-34.594209,9,2019,3*,IMPALA,(54 11) 5254-6835,reservas@525hotel.com,LIBERTAD ,1215,Retiro,Comuna 1,1012,C1012AAY
-58.381959,-34.609833,165,2019,3*,IMPERIAL PARK,(54 11) 4383-0555,info@imperialparkhotel.com,LIMA ,107,Monserrat,Comuna 1,1073,C1073AAC
-58.384396,-34.627766,190,2019,3*,IRUN,"(54 11) 4306-0018/ 4304-2746
  0-810-222-4441",info@hotelirun.com.ar,SANTIAGO DEL ESTERO ,1671,Constitucion,Comuna 1,1136,C1136ABI
-58.405842,-34.610396,133,2019,3*,LA PERLA HOTEL,(54 11) 5218-7737 al 40,,JUJUY ,36,Balvanera,Comuna 3,1083,C1083AAN
-58.375656,-34.603423,43,2019,3*,LIBERTY HOTEL,(54 11) 5279-0000,info@liberty-hotel.com.ar,CORRIENTES ,632,San Nicolas,Comuna 1,1043,C1043AAT
-58.407809,-34.610329,166,2019,3*,LUEY,(54 11) 4862-3873 4861-0403 4866-4427,luey@arnet.com.ar,RIVADAVIA ,2902,Balvanera,Comuna 3,1203,C1203AAO
-58.393590,-34.606347,13,2019,3*,LYON HOTEL,(54 11) 4372-0100/09,info@hotel-lyon.com.ar,RIOBAMBA ,251,Balvanera,Comuna 3,1025,C1025ABE
-58.371534,-34.611306,39 A/10,2019,3*,MORENO HOTEL BUENOS AIRES,(54 11) 6091-2000 4831 6831,reservas@morenobuenosaires.com,MORENO ,376,Monserrat,Comuna 1,1091,C1091AAH
-58.385748,-34.608777,85,2019,3*,NAPOLEON HOTEL,(54 11) 5353-2031/37,info@hotel-napoleon.com.ar,RIVADAVIA ,1364,,,,
-58.390852,-34.605356,1,2019,3*,NORMANDIE HOTEL,(54 11) 4371-7001 al 06,normandie@hotelnormandie.com.ar,RODRIGUEZ PEÑA ,320,San Nicolas,Comuna 1,1020,C1020ADH
-58.390590,-34.608328,92,2019,3*,PARLAMENTO HOTEL,(54 11) 4371-3789 - 4374-1410/1709,info@hotelparlamento.com.ar,RODRIGUEZ PEÑA ,61,San Nicolas,Comuna 1,1020,C1020ADA
-58.373673,-34.596232,28,2019,3*,PROMENADE HOTEL,(54 11) 4312-5681,info@hotelpromenade.com.ar,MARCELO T. DE ALVEAR ,444,Retiro,Comuna 1,1058,C1058AAD
-58.378306,-34.602341,58,2019,3*,REGIS HOTEL,0810 222 6746 / (5411) 4327 2605,REGISVENTAS@ORHO-HOTELES.COM.AR,LAVALLE ,813,San Nicolas,Comuna 1,1047,C1047AAQ
-58.389288,-34.608098,178,2019,3*,BABEL PLAZA (ex-RIVER HOTEL),(54 11) 4331-6300,reservas@babelhotels.com.ar,MONTEVIDEO ,84,San Nicolas,Comuna 1,1019,C1019ABB
-58.376780,-34.601458,111,2019,3*,ROCHESTER CONCEPT (ex HYDE PARK),(54 11) 4328-3930,info@rochester-hotel.com.ar,MAIPU ,572,San Nicolas,Comuna 1,1006,C1006ACF
-58.394441,-34.605772,79,2019,3*,SARMIENTO PALACE HOTEL,(54 11) 4953-3420 / 3404 / 5014,info@hotelsarmiento.com.ar,SARMIENTO ,1953,Balvanera,Comuna 3,1044,C1044AAC
-58.462826,-34.554164,183,2019,3*,SARUM,(54 11) 4704-0039/0040,info@hotelsarum.com.ar,QUESADA ,2370,Nu\u00f1ez,Comuna 13,1429,C1429COJ
-58.383395,-34.589394,53 A/11,2019,3*,SERENA HOTEL BUENOS AIRES,4813-3226,reservas@serenahoteles.com,LIBERTAD ,1617,Retiro,Comuna 1,1016,C1016ABG
-58.379839,-34.608362,170,2019,3*,SPLENDID HOTEL,(54 11) 4345-2800,ventas@hotel-splendid.com.ar,RIVADAVIA ,950,Monserrat,Comuna 1,1002,C1002AAU
-58.453732,-34.587271,51,2019,3*,TORRE HOTEL,(54 11) 4552-6034/6126,info@torre-hotel.com.ar,OLLEROS ,4186,Chacarita,Comuna 15,1427,C1427EEN
-58.380573,-34.600173,04 A/09,2019,3*,VIASUI,(54 11) 5252- 3070 al 73,reservas@viasuihotel.com.ar,VIAMONTE ,960,San Nicolas,Comuna 1,1053,C1053ABT
-58.376930,-34.597884,102,2019,3*,VICTORY HOTEL,(54 11) 4314-8415 / 5440,info@victoryhotel.com.ar,MAIPU ,880,Retiro,Comuna 1,1006,C1006ACL
-58.373624,-34.597412,101,2019,3*,WALDORF,(54 11) 4312.2071/9,info@waldorf-hotel.com.ar reservas@waldorf-hotel.com.ar,PARAGUAY ,450,Retiro,Comuna 1,1057,C1057AAD
-58.372616,-34.599869,176,2019,4*,AMERIAN BUENOS AIRES PARK HOTEL,5171-6500,info@amerian.com,RECONQUISTA ,699,San Nicolas,Comuna 1,1003,C1003ABM
-58.384305,-34.596077,508,2019,4*,CYAN AMERICAS TOWER,(54 11) 5236-9095,web@grupoamericas.com.ar,LIBERTAD ,1070,Retiro,Comuna 1,1012,C1012AAV
-58.379546,-34.592912,199,2019,4*,ARGENTA TOWER,(54 11) 4325-4100,info@argenta-tower.com.ar,JUNCAL ,868,Retiro,Comuna 1,1062,C1062ABF
-58.379170,-34.597665,158,2019,4*,ASPEN TOWERS,(54 11) 52191600,sales@aspenhotels.com.ar reservations@aspentowers.com.ar,PARAGUAY ,857,Retiro,Comuna 1,1057,C1057AAK
-58.384222,-34.598060,116,2019,4*,BISONTE LIBERTAD,(54)(11) 3723-2520,reservas@bisontelibertad.com,PARAGUAY ,1207,Retiro,Comuna 1,1057,C1057AAS
-58.380022,-34.596559,138,2019,4*,BISONTE PALACE HOTEL,(54 11) 4390-7830,reservas@bisontepalace.com,MARCELO T. DE ALVEAR ,902,Retiro,Comuna 1,1058,C1058AAN
-58.382181,-34.605175,17,2019,4*,BRISTOL HOTEL,(54 11) 5252-6400 4382-5400 / 09,reservas@hotelbristol.com.ar,CERRITO ,286,San Nicolas,Comuna 1,1010,C1010AAF
-58.421557,-34.596920,76-A/13,2019,4*,BYS PALERMO,(54 11) 4862 2956,reservas@hotelbys.com.ar,ACUÑA DE FIGUEROA ,1263,Palermo,Comuna 14,1180,C1180AAW
-58.382202,-34.604724,23 A/10,2019,4*,CAESAR PARK SILVER OBELISCO,(54 11) 4106-4444,reservas@parksilverobelisco.com,CERRITO ,328,San Nicolas,Comuna 1,1010,C1010AAH
-58.384449,-34.594727,26,2019,4*,CARLTON,(54 11) 4812 0081,hotelcarlton@solans.com,LIBERTAD ,1180,Retiro,Comuna 1,1012,C1012AAX
-58.376082,-34.599911,96,2019,4*,CARSSON,(54 11) 4131 3800,info@hotelcarsson.com.ar,VIAMONTE ,650,San Nicolas,Comuna 1,1053,C1053ABN
-58.382739,-34.609219,90,2019,4*,CASTELAR,(54 11) 4383 5000 al 5009,info@castelarhotel.com.ar,AV. DE MAYO ,1152,Monserrat,Comuna 1,1085,C1085ABO
-58.379282,-34.607927,155,2019,4*,CENTURIA,(54 11) 4342 5575,recepcion@hotelcenturia.com recepcion@hotelcenturia.com,SUIPACHA ,30,San Nicolas,Comuna 1,1008,C1008AAB
-58.380743,-34.607069,152,2019,4*,CONTE HOTEL,(54 11) 4000-9350,reservas@conte-hotel.com,C. PELLEGRINI ,101,San Nicolas,Comuna 1,1009,C1009ABC
-58.385646,-34.617752,159,2019,4*,CUATRO REYES,(54 11) 4384 8000,reservas@hotelcuatroreyes.com,INDEPENDENCIA ,1391,,,,
-58.374315,-34.597092,235,2019,4*,DAZZLER TOWER,(54 11) 5256-7700,reservasweb@dazzlersanmartin.com,SAN MARTIN ,920,Retiro,Comuna 1,1004,C1004AAT
-58.377683,-34.611773,47 A/11,2019,4*,DAZZLER TOWER SAN TELMO,(54 11) 5277-6050 / 52175799,reservasweb@dazzlersantelmo.com,PIEDRAS ,303,Monserrat,Comuna 1,1070,C1070AAG
-58.384255,-34.596589,82,2019,4*,CYAN HOTEL DE LAS AMERICAS,(54 11) 5236-9095 / 5236-5300,info@hotelescyan.com,LIBERTAD ,1020,Retiro,Comuna 1,1012,C1012AAV
-58.379919,-34.595610,157,2019,4*,DOLMEN,(54 11) 4311-9000 / 4315-7117,reservas@hoteldolmen.com.ar,SUIPACHA ,1069,Retiro,Comuna 1,1008,C1008AAU
